GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,0,1.000000,0.000419,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,1,1.000000,0.000316,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,2,1.000000,0.000312,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,3,1.000000,0.000309,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,4,1.000000,0.000311,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,5,1.000000,0.000311,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,6,1.000000,0.000311,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,7,1.000000,0.000311,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,8,1.000000,0.000311,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,9,1.000000,0.000311,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,10,1.000000,0.000313,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,11,1.000000,0.000312,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,12,1.000000,0.000313,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,13,1.000000,0.000314,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,14,1.000000,0.000312,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,15,1.000000,0.000312,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,16,1.000000,0.000313,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,17,1.000000,0.000314,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,18,1.000000,0.000312,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,19,1.000000,0.000314,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,20,1.000000,0.000313,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,21,1.000000,0.000314,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,22,1.000000,0.000313,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,23,1.000000,0.000317,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,24,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,25,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,26,1.000000,0.000318,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,27,1.000000,0.000313,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,28,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,29,1.000000,0.000317,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,30,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,31,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,32,1.000000,0.000319,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,33,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,34,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,35,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,36,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,37,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,38,1.000000,0.000317,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,39,1.000000,0.000316,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,40,1.000000,0.000315,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,41,1.000000,0.000317,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,42,1.000000,0.000317,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,43,1.000000,0.000316,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,44,1.000000,0.000316,10648.000000,9.090909
NVIDIA H100 PCIe,1,1,circles_spatial3D,200,10648,22.000000,2.000000,45,1.000000,0.000318,10648.000000,9.090909
